#Name
Instance1

#Number_of_elements
45

#id	p	a	w   	
1	27	9	2
2	22	21	3
3	11	12	2
4	12	8	3
5	46	24	3
6	28	38	3
7	17	44	3
8	34	54	2
9	6	61	2
10	2	64	2
11	16	114	2
12	22	106	2
13	7	81	2
14	11	103	2
15	18	82	1
16	18	88	3
17	11	70	2
18	3	71	3
19	2	84	2
20	6	84	2
21	6	95	1
22	11	155	1
23	18	140	3
24	19	145	2
25	16	150	2
26	25	169	3
27	7	144	2
28	11	175	1
29	12	158	2
30	7	175	1
31	13	153	4
32	26	157	2
33	23	177	2
34	16	140	2
35	26	136	2
36	15	158	2
37	8	165	2
38	12	209	1
39	23	239	2
40	14	221	4
41	12	201	2
42	16	198	3
43	33	186	3
44	23	189	2
45	24	230	2
