#Name
Instance4

#Number_of_elements
42

#id	p	a	w
1	5	47	3
2	20	13	2
3	20	52	3
4	8	58	2
5	9	26	2
6	28	42	2
7	24	28	3
8	15	28	2
9	19	17	2
10	25	21	2
11	14	19	2
12	24	114	2
13	18	109	1
14	18	107	3
15	21	77	2
16	19	80	4
17	16	73	2
18	10	117	2
19	41	99	3
20	23	114	3
21	7	60	2
22	15	64	3
23	24	106	2
24	22	122	2
25	11	127	2
26	8	161	3
27	20	162	3
28	12	140	2
29	9	141	1
30	14	174	2
31	9	156	2
32	15	176	3
33	23	239	3
34	11	214	1
35	12	186	2
36	3	186	2
37	23	200	1
38	15	233	4
39	28	194	3
40	26	195	2
41	16	206	2
42	42	182	4
